,Наименование,id,Скидка,Цена,Цена со скидкой,Бренд,id бренда,feedbacks,rating,Ссылка
92,Шорты спортивные короткие плавки утягивающие,111431170,57,3100,1333,Эйфория,14586,190,5,https://www.wildberries.ru/catalog/111431170/detail.aspx?targetUrl=BP
93,Велосипедки шорты женские спортивные короткие высокая талия,81959749,59,3200,1312,Эйфория,14586,445,5,https://www.wildberries.ru/catalog/81959749/detail.aspx?targetUrl=BP
94,Брюки женские утепленные зимние с начесом спортивные штаны,11668861,52,5000,2400,AIVA fashion,60848,2698,5,https://www.wildberries.ru/catalog/11668861/detail.aspx?targetUrl=BP
95,Брюки льняные широкие палаццо,31474108,55,7300,3285,Lanicka,6025,835,5,https://www.wildberries.ru/catalog/31474108/detail.aspx?targetUrl=BP
96,Брюки женские палаццо школьные стильные,54624640,71,4000,1160,Paetki,60685,404,5,https://www.wildberries.ru/catalog/54624640/detail.aspx?targetUrl=BP
97,Леггинсы спортивные Джиджи лосины для фитнеса,70718817,27,1499,1094,Jelika,463696,815,5,https://www.wildberries.ru/catalog/70718817/detail.aspx?targetUrl=BP
98,Брюки кожаные женские утепленные штаны из экокожи для женщин,47516675,64,4900,1764,KabLook Style,650633,213,5,https://www.wildberries.ru/catalog/47516675/detail.aspx?targetUrl=BP
99,Лосины женские спортивные леггинсы модные с высокой посадкой,37058586,0,3550,3550,Bona Fide,10974,291,4,https://www.wildberries.ru/catalog/37058586/detail.aspx?targetUrl=BP
100,Брюки Mayer из экокожи клеш от бедра,40062035,40,7031,4218,Feelz,38457,850,4,https://www.wildberries.ru/catalog/40062035/detail.aspx?targetUrl=BP
101,Лосины спортивные леггинсы для фитнеса,117753666,50,5380,2690,BODY ICON,1422707,21,5,https://www.wildberries.ru/catalog/117753666/detail.aspx?targetUrl=BP
102,Брюки клеш от колена штаны классические прямые офис,75352946,66,5700,1938,MUNIRA,371550,396,5,https://www.wildberries.ru/catalog/75352946/detail.aspx?targetUrl=BP
103,🔥 Лосины спортивные матовые для фитнеса и повседневные,71371674,50,3980,1990,EAZYWAY,44107,447,5,https://www.wildberries.ru/catalog/71371674/detail.aspx?targetUrl=BP
104,Леггинсы женские в рубчик спортивные,141700661,75,7000,1750,comclothes,10540116,5,5,https://www.wildberries.ru/catalog/141700661/detail.aspx?targetUrl=BP
105,Леггинсы кожаные с карманами теплые,124818105,75,3650,912,ART FAMILY,37310,393,5,https://www.wildberries.ru/catalog/124818105/detail.aspx?targetUrl=BP
106,Лосины Леггинсы женские спортивные трикотажные домашние,6578505,50,1512,756,РКР,24806,1280,5,https://www.wildberries.ru/catalog/6578505/detail.aspx?targetUrl=BP
